x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5
-0.07521033,0.005570901,-0.2250675,-0.1662445,-0.4840202,0.2279012,-0.2141823,-0.4747355,-0.2204305,-0.04978794,0.002223021,0.2252334,0,0.5,-0.225496,0,0.5,0.225496
0.05196247,0.002657951,-0.2253882,0.08699086,-0.4960715,0.2255535,0.1177793,-0.4930116,-0.2243448,0.03584759,0.001273376,0.2253557,0,0.5,-0.225496,0,0.5,0.225496
0.1625211,0.02653918,-0.224615,0.3212949,-0.4437771,0.2282155,0.4130399,-0.4059096,-0.211706,0.1223644,0.0148659,0.2245422,0,0.5,-0.225496,0,0.5,0.225496
0.2449066,0.06370367,-0.2245381,0.5145805,-0.3501395,0.2320224,0.5844911,-0.3030504,-0.211048,0.2090311,0.04559132,0.2246583,0,0.5,-0.225496,0,0.5,0.225496
0.2781246,0.08429898,-0.2255004,0.63528,-0.2649347,0.2257865,0.6480963,-0.2518727,-0.2248807,0.2765133,0.08333173,0.2254544,0,0.5,-0.225496,0,0.5,0.225496
0.2679827,0.07777289,-0.2247474,0.6703554,-0.2349509,0.2151061,0.6297052,-0.2671902,-0.2328535,0.297676,0.09814518,0.2247423,0,0.5,-0.225496,0,0.5,0.225496
0.2267588,0.0537953,-0.2249018,0.6168344,-0.2769121,0.2107655,0.5372632,-0.3381217,-0.2289986,0.258181,0.07138799,0.2246941,0,0.5,-0.225496,0,0.5,0.225496
0.1483523,0.02244974,-0.2248552,0.4430986,-0.3923308,0.2159017,0.3899145,-0.4153834,-0.2313856,0.1820448,0.03401716,0.22478,0,0.5,-0.225496,0,0.5,0.225496
0.07181817,0.005237463,-0.2254264,0.1703273,-0.4847555,0.2258062,0.1719235,-0.4846328,-0.2251739,0.06512799,0.004131058,0.225456,0,0.5,-0.225496,0,0.5,0.225496
-0.01854958,0.0003145867,-0.2247858,-0.1450058,-0.4890715,0.2197341,-0.08337371,-0.4954534,-0.2269907,-0.05587811,0.002845437,0.2246384,0,0.5,-0.225496,0,0.5,0.225496
-0.129267,0.01643156,-0.2249612,-0.408184,-0.4085464,0.2146556,-0.3243054,-0.4439564,-0.2271076,-0.1615217,0.02638459,0.2247798,0,0.5,-0.225496,0,0.5,0.225496
-0.221768,0.0516883,-0.2249835,-0.5603687,-0.324603,0.2187413,-0.5196169,-0.3497661,-0.2297293,-0.2478326,0.06564344,0.2250299,0,0.5,-0.225496,0,0.5,0.225496
-0.286246,0.09006546,-0.2254975,-0.6259389,-0.2742734,0.2276698,-0.6288014,-0.2742464,-0.2233537,-0.2765309,0.08351723,0.2254231,0,0.5,-0.225496,0,0.5,0.225496
-0.2932262,0.09499759,-0.2246584,-0.6127225,-0.2821532,0.2323776,-0.6542081,-0.2508498,-0.2155911,-0.262221,0.07429158,0.2248263,0,0.5,-0.225496,0,0.5,0.225496
-0.2379592,0.05979193,-0.2252148,-0.526363,-0.3438302,0.2281716,-0.5920097,-0.2932241,-0.2152298,-0.2166318,0.04886957,0.2251567,0,0.5,-0.225496,0,0.5,0.225496
